ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Europe,San Marino,13.44,11.2,15.77
Europe,Switzerland,13.44,13.09,13.78
Eastern Mediterranean,Morocco,13.51,11.21,16.45
Africa,Comoros,13.54,6.89,22.23
Americas,Brazil,13.59,10.99,17.2
Europe,Denmark,13.61,12.56,14.73
Eastern Mediterranean,Morocco,13.65,11.39,16.35
Americas,Jamaica,13.68,11.55,15.59
Africa,Botswana,13.69,9.46,20.03
Europe,Spain,13.71,13.46,14
Europe,United Kingdom of Great Britain and Northern Ireland,13.72,13.2,14.17
Eastern Mediterranean,Somalia,13.73,7.85,22.97
Europe,Germany,13.8,13.5,14.09
Africa,Namibia,13.82,6.16,27.09
Africa,Comoros,13.89,7.16,22.22
Africa,Comoros,13.89,7.16,22.23
Western Pacific,Japan,13.91,12.87,15.01
Africa,Comoros,14,7.25,22.23
Africa,South Africa,14.08,11.8,16.07
Europe,Lithuania,14.1,12.69,15.96
Americas,Argentina,14.1,9.56,19.15
Africa,Kenya,14.12,8.12,20.12
Africa,Comoros,14.21,7.42,22.43
Europe,Belgium,14.26,13.49,15.05
Europe,France,14.27,14.02,14.57
Europe,United Kingdom of Great Britain and Northern Ireland,14.29,13.76,14.71
Western Pacific,Japan,14.3,13.41,15.32
Europe,Austria,14.32,13.87,14.86
Europe,Spain,14.34,14.07,14.64
Europe,Netherlands (Kingdom of the),14.36,13.7,15.02
Europe,Latvia,14.38,12.83,16.27
Europe,Lithuania,14.38,13.38,15.81
Europe,Denmark,14.39,13.69,15.44
Europe,Switzerland,14.4,14.01,14.77
Africa,Eswatini,14.43,10.14,18.99
Eastern Mediterranean,Somalia,14.46,7.56,24.63
Eastern Mediterranean,Somalia,14.47,7.55,24.64
Americas,Jamaica,14.52,12.37,16.23
Africa,United Republic of Tanzania,14.52,9.79,21.54
Eastern Mediterranean,Somalia,14.6,7.16,28.2
Americas,Panama,14.63,10.71,19.78
Western Pacific,Japan,14.65,13.83,15.62
Africa,Zimbabwe,14.65,7.22,27.47
Europe,Lithuania,14.66,13.72,15.94
Africa,Botswana,14.69,10.61,20.47
Africa,Eswatini,14.71,10.29,19.42
Europe,France,14.72,14.44,15.01
Americas,Panama,14.78,10.43,18.84
Americas,Panama,14.78,10.91,19.09
Americas,Panama,14.87,10.67,18.71
Americas,Brazil,14.89,12.86,17.9
Europe,Ukraine,14.95,11.37,19.76
Americas,Paraguay,14.96,9.95,23.66
Europe,Latvia,15.06,13.63,16.85
Eastern Mediterranean,Somalia,15.1,6.84,30.1
Africa,Botswana,15.11,10.82,21.45
Africa,Zimbabwe,15.17,7.16,28.92
Americas,Panama,15.19,11.12,21.02
Europe,Germany,15.19,14.88,15.52
Europe,Netherlands (Kingdom of the),15.28,14.56,16.16
Europe,Republic of Moldova,15.3,11.32,19.96
Americas,Cuba,15.31,10.95,21.65
Africa,Madagascar,15.33,10.03,22.82
Africa,Eswatini,15.33,10.61,20.43
Africa,United Republic of Tanzania,15.33,10.77,22.68
Americas,Brazil,15.36,13.68,18.07
Africa,Botswana,15.39,10.79,22.12
Europe,Germany,15.42,15.14,15.7
Europe,Republic of Moldova,15.52,11.71,20.71
Europe,Malta,15.52,13.39,18.33
Europe,Netherlands (Kingdom of the),15.53,14.99,16.14
Africa,Eswatini,15.54,10.73,20.92
Europe,Austria,15.66,15.31,16
